item_id,item_name,valve_type,body_material,size_mm,product_family,standard_batch_size
VLV-001,Gate Valve Duplex 15mm,Gate,Duplex,15,Gate-Duplex,50
VLV-002,Gate Valve Brass 200mm,Gate,Brass,200,Gate-Brass,25
VLV-003,Gate Valve Brass 25mm,Gate,Brass,25,Gate-Brass,100
VLV-004,Gate Valve Duplex 200mm,Gate,Duplex,200,Gate-Duplex,50
VLV-005,Gate Valve CastIron 25mm,Gate,CastIron,25,Gate-CastIron,50
VLV-006,Globe Valve StainlessSteel 50mm,Globe,StainlessSteel,50,Globe-StainlessSteel,50
VLV-007,Globe Valve CastIron 40mm,Globe,CastIron,40,Globe-CastIron,25
VLV-008,Globe Valve Duplex 15mm,Globe,Duplex,15,Globe-Duplex,25
VLV-009,Globe Valve StainlessSteel 200mm,Globe,StainlessSteel,200,Globe-StainlessSteel,50
VLV-010,Globe Valve CastIron 200mm,Globe,CastIron,200,Globe-CastIron,50
VLV-011,Ball Valve Duplex 25mm,Ball,Duplex,25,Ball-Duplex,50
VLV-012,Ball Valve CarbonSteel 100mm,Ball,CarbonSteel,100,Ball-CarbonSteel,50
VLV-013,Ball Valve Bronze 25mm,Ball,Bronze,25,Ball-Bronze,100
VLV-014,Ball Valve CastIron 15mm,Ball,CastIron,15,Ball-CastIron,25
VLV-015,Ball Valve Bronze 15mm,Ball,Bronze,15,Ball-Bronze,50
VLV-016,Butterfly Valve Bronze 50mm,Butterfly,Bronze,50,Butterfly-Bronze,50
VLV-017,Butterfly Valve StainlessSteel 15mm,Butterfly,StainlessSteel,15,Butterfly-StainlessSteel,50
VLV-018,Butterfly Valve Brass 150mm,Butterfly,Brass,150,Butterfly-Brass,50
VLV-019,Butterfly Valve Duplex 15mm,Butterfly,Duplex,15,Butterfly-Duplex,50
VLV-020,Butterfly Valve CastIron 50mm,Butterfly,CastIron,50,Butterfly-CastIron,50
VLV-021,Check Valve CastIron 200mm,Check,CastIron,200,Check-CastIron,50
VLV-022,Check Valve CarbonSteel 80mm,Check,CarbonSteel,80,Check-CarbonSteel,25
VLV-023,Check Valve StainlessSteel 25mm,Check,StainlessSteel,25,Check-StainlessSteel,50
VLV-024,Check Valve Brass 200mm,Check,Brass,200,Check-Brass,100
VLV-025,Check Valve Bronze 200mm,Check,Bronze,200,Check-Bronze,25
VLV-026,Needle Valve Bronze 15mm,Needle,Bronze,15,Needle-Bronze,50
VLV-027,Needle Valve CarbonSteel 50mm,Needle,CarbonSteel,50,Needle-CarbonSteel,25
VLV-028,Needle Valve Bronze 50mm,Needle,Bronze,50,Needle-Bronze,100
VLV-029,Needle Valve CastIron 25mm,Needle,CastIron,25,Needle-CastIron,50
VLV-030,Needle Valve CarbonSteel 100mm,Needle,CarbonSteel,100,Needle-CarbonSteel,50
VLV-031,Plug Valve CarbonSteel 150mm,Plug,CarbonSteel,150,Plug-CarbonSteel,25
VLV-032,Plug Valve StainlessSteel 15mm,Plug,StainlessSteel,15,Plug-StainlessSteel,50
VLV-033,Plug Valve StainlessSteel 25mm,Plug,StainlessSteel,25,Plug-StainlessSteel,50
VLV-034,Plug Valve Bronze 40mm,Plug,Bronze,40,Plug-Bronze,50
VLV-035,Plug Valve Brass 50mm,Plug,Brass,50,Plug-Brass,50
VLV-036,Diaphragm Valve CarbonSteel 80mm,Diaphragm,CarbonSteel,80,Diaphragm-CarbonSteel,25
VLV-037,Diaphragm Valve StainlessSteel 40mm,Diaphragm,StainlessSteel,40,Diaphragm-StainlessSteel,25
VLV-038,Diaphragm Valve Duplex 100mm,Diaphragm,Duplex,100,Diaphragm-Duplex,50
VLV-039,Diaphragm Valve CastIron 50mm,Diaphragm,CastIron,50,Diaphragm-CastIron,25
VLV-040,Diaphragm Valve StainlessSteel 200mm,Diaphragm,StainlessSteel,200,Diaphragm-StainlessSteel,100
VLV-041,Safety Valve CastIron 200mm,Safety,CastIron,200,Safety-CastIron,50
VLV-042,Safety Valve StainlessSteel 100mm,Safety,StainlessSteel,100,Safety-StainlessSteel,50
VLV-043,Safety Valve StainlessSteel 50mm,Safety,StainlessSteel,50,Safety-StainlessSteel,50
VLV-044,Safety Valve Bronze 25mm,Safety,Bronze,25,Safety-Bronze,50
VLV-045,Safety Valve CarbonSteel 50mm,Safety,CarbonSteel,50,Safety-CarbonSteel,25
